Year_Month,Year,Primary.Type,Location.Description,total_crimes,days_with_crime,avg_daily_crimes
2001-01,2001,ROBBERY,GAS STATION,6,6,1
2001-01,2001,THEFT,APARTMENT,6,5,1.2
2001-01,2001,THEFT,PARKING LOT/GARAGE(NON.RESID.),6,6,1
2001-01,2001,WEAPONS VIOLATION,STREET,6,5,1.2
2001-01,2001,CRIM SEXUAL ASSAULT,RESIDENCE,5,1,5
2001-01,2001,NARCOTICS,CHA APARTMENT,5,5,1
2001-01,2001,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),5,4,1.25
2001-01,2001,ROBBERY,GROCERY FOOD STORE,5,5,1
2001-01,2001,THEFT,COMMERCIAL / BUSINESS OFFICE,5,5,1
2001-01,2001,THEFT,SIDEWALK,5,4,1.25
2001-01,2001,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),4,4,1
2001-01,2001,CRIMINAL TRESPASS,"SCHOOL, PUBLIC, BUILDING",4,3,1.33
2001-01,2001,SEX OFFENSE,RESIDENCE,4,3,1.33
2001-01,2001,THEFT,ALLEY,4,4,1
2001-01,2001,THEFT,"SCHOOL, PUBLIC, BUILDING",4,4,1
2001-01,2001,WEAPONS VIOLATION,RESIDENCE,4,3,1.33
2001-01,2001,ASSAULT,CHA HALLWAY/STAIRWELL/ELEVATOR,3,2,1.5
2001-01,2001,ASSAULT,OTHER,3,3,1
2001-01,2001,BATTERY,GROCERY FOOD STORE,3,2,1.5
2001-01,2001,BURGLARY,RESIDENCE-GARAGE,3,3,1
2001-01,2001,CRIMINAL DAMAGE,FACTORY/MANUFACTURING BUILDING,3,3,1
2001-01,2001,CRIMINAL DAMAGE,OTHER,3,3,1
2001-01,2001,CRIMINAL DAMAGE,SIDEWALK,3,3,1
2001-01,2001,CRIMINAL TRESPASS,APARTMENT,3,2,1.5
2001-01,2001,DECEPTIVE PRACTICE,BANK,3,3,1
2001-01,2001,DECEPTIVE PRACTICE,RESTAURANT,3,3,1
2001-01,2001,DECEPTIVE PRACTICE,STREET,3,2,1.5
2001-01,2001,MOTOR VEHICLE THEFT,OTHER,3,3,1
2001-01,2001,NARCOTICS,ABANDONED BUILDING,3,3,1
2001-01,2001,NARCOTICS,GAS STATION,3,3,1
2001-01,2001,NARCOTICS,GROCERY FOOD STORE,3,3,1
2001-01,2001,NARCOTICS,OTHER,3,3,1
2001-01,2001,NARCOTICS,POLICE FACILITY/VEH PARKING LOT,3,3,1
2001-01,2001,ROBBERY,PARKING LOT/GARAGE(NON.RESID.),3,3,1
2001-01,2001,THEFT,GAS STATION,3,3,1
2001-01,2001,WEAPONS VIOLATION,SIDEWALK,3,3,1
2001-01,2001,ASSAULT,CTA BUS,2,2,1
2001-01,2001,ASSAULT,RESIDENCE PORCH/HALLWAY,2,2,1
2001-01,2001,ASSAULT,RESTAURANT,2,1,2
2001-01,2001,BATTERY,ALLEY,2,2,1
2001-01,2001,BATTERY,CHA PARKING LOT/GROUNDS,2,2,1
2001-01,2001,BATTERY,HOSPITAL BUILDING/GROUNDS,2,2,1
2001-01,2001,BATTERY,"SCHOOL, PUBLIC, GROUNDS",2,2,1
2001-01,2001,BURGLARY,RESTAURANT,2,2,1
2001-01,2001,BURGLARY,SMALL RETAIL STORE,2,2,1
2001-01,2001,BURGLARY,WAREHOUSE,2,2,1
2001-01,2001,CRIMINAL DAMAGE,CHA APARTMENT,2,2,1
2001-01,2001,CRIMINAL DAMAGE,DRIVEWAY - RESIDENTIAL,2,2,1
2001-01,2001,CRIMINAL DAMAGE,GROCERY FOOD STORE,2,2,1
2001-01,2001,CRIMINAL DAMAGE,"SCHOOL, PUBLIC, BUILDING",2,2,1
2001-01,2001,CRIMINAL TRESPASS,CHA PARKING LOT/GROUNDS,2,2,1
2001-01,2001,CRIMINAL TRESPASS,RESIDENCE,2,2,1
2001-01,2001,CRIMINAL TRESPASS,RESIDENCE PORCH/HALLWAY,2,2,1
2001-01,2001,CRIMINAL TRESPASS,STREET,2,2,1
2001-01,2001,DECEPTIVE PRACTICE,CLEANING STORE,2,2,1
2001-01,2001,DECEPTIVE PRACTICE,TAXICAB,2,2,1
2001-01,2001,HOMICIDE,AUTO,2,2,1
2001-01,2001,INTERFERENCE WITH PUBLIC OFFICER,STREET,2,2,1
2001-01,2001,MOTOR VEHICLE THEFT,VACANT LOT/LAND,2,2,1
2001-01,2001,NARCOTICS,APARTMENT,2,2,1
2001-01,2001,NARCOTICS,PARK PROPERTY,2,2,1
2001-01,2001,NARCOTICS,VACANT LOT/LAND,2,2,1
2001-01,2001,OFFENSE INVOLVING CHILDREN,APARTMENT,2,2,1
2001-01,2001,OTHER OFFENSE,SIDEWALK,2,2,1
2001-01,2001,OTHER OFFENSE,VEHICLE NON-COMMERCIAL,2,2,1
2001-01,2001,ROBBERY,ALLEY,2,2,1
2001-01,2001,ROBBERY,CHA PARKING LOT/GROUNDS,2,2,1
2001-01,2001,ROBBERY,RESIDENCE,2,2,1
2001-01,2001,ROBBERY,RESIDENCE PORCH/HALLWAY,2,2,1
2001-01,2001,ROBBERY,VEHICLE NON-COMMERCIAL,2,2,1
2001-01,2001,SEX OFFENSE,STREET,2,2,1
2001-01,2001,THEFT,CHA APARTMENT,2,2,1
2001-01,2001,THEFT,CLEANING STORE,2,2,1
2001-01,2001,THEFT,CTA BUS,2,2,1
2001-01,2001,THEFT,DRUG STORE,2,2,1
2001-01,2001,THEFT,FACTORY/MANUFACTURING BUILDING,2,2,1
2001-01,2001,THEFT,HOSPITAL BUILDING/GROUNDS,2,2,1
2001-01,2001,ARSON,ALLEY,1,1,1
2001-01,2001,ARSON,RESTAURANT,1,1,1
2001-01,2001,ARSON,"SCHOOL, PUBLIC, BUILDING",1,1,1
2001-01,2001,ARSON,VEHICLE NON-COMMERCIAL,1,1,1
2001-01,2001,ASSAULT,CHA APARTMENT,1,1,1
2001-01,2001,ASSAULT,CLEANING STORE,1,1,1
2001-01,2001,ASSAULT,GAS STATION,1,1,1
2001-01,2001,ASSAULT,GOVERNMENT BUILDING/PROPERTY,1,1,1
2001-01,2001,ASSAULT,GROCERY FOOD STORE,1,1,1
2001-01,2001,ASSAULT,LIBRARY,1,1,1
2001-01,2001,ASSAULT,"SCHOOL, PUBLIC, GROUNDS",1,1,1
2001-01,2001,ASSAULT,SMALL RETAIL STORE,1,1,1
2001-01,2001,BATTERY,BARBERSHOP,1,1,1
2001-01,2001,BATTERY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,1,1
2001-01,2001,BATTERY,CTA BUS,1,1,1
2001-01,2001,BATTERY,GOVERNMENT BUILDING/PROPERTY,1,1,1
2001-01,2001,BATTERY,HOTEL/MOTEL,1,1,1
2001-01,2001,BATTERY,MEDICAL/DENTAL OFFICE,1,1,1
2001-01,2001,BATTERY,PARK PROPERTY,1,1,1
2001-01,2001,BATTERY,PARKING LOT/GARAGE(NON.RESID.),1,1,1
2001-01,2001,BATTERY,POLICE FACILITY/VEH PARKING LOT,1,1,1
2001-01,2001,BATTERY,"SCHOOL, PRIVATE, BUILDING",1,1,1
2001-01,2001,BATTERY,VACANT LOT/LAND,1,1,1
2001-01,2001,BATTERY,VEHICLE-COMMERCIAL,1,1,1
2001-01,2001,BURGLARY,BAR OR TAVERN,1,1,1
2001-01,2001,BURGLARY,CAR WASH,1,1,1
2001-01,2001,BURGLARY,CHA PARKING LOT/GROUNDS,1,1,1
2001-01,2001,BURGLARY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,1,1
2001-01,2001,BURGLARY,COMMERCIAL / BUSINESS OFFICE,1,1,1
2001-01,2001,BURGLARY,FACTORY/MANUFACTURING BUILDING,1,1,1
2001-01,2001,BURGLARY,GROCERY FOOD STORE,1,1,1
2001-01,2001,BURGLARY,OTHER RAILROAD PROP / TRAIN DEPOT,1,1,1
2001-01,2001,BURGLARY,PARKING LOT/GARAGE(NON.RESID.),1,1,1
2001-01,2001,CRIM SEXUAL ASSAULT,ALLEY,1,1,1
2001-01,2001,CRIM SEXUAL ASSAULT,RESIDENCE PORCH/HALLWAY,1,1,1
2001-01,2001,CRIM SEXUAL ASSAULT,STREET,1,1,1
2001-01,2001,CRIM SEXUAL ASSAULT,VEHICLE NON-COMMERCIAL,1,1,1
2001-01,2001,CRIMINAL DAMAGE,ALLEY,1,1,1
2001-01,2001,CRIMINAL DAMAGE,CHA PARKING LOT/GROUNDS,1,1,1
2001-01,2001,CRIMINAL DAMAGE,GAS STATION,1,1,1
2001-01,2001,CRIMINAL DAMAGE,RESIDENCE PORCH/HALLWAY,1,1,1
2001-01,2001,CRIMINAL DAMAGE,RESIDENCE-GARAGE,1,1,1
2001-01,2001,CRIMINAL DAMAGE,"SCHOOL, PUBLIC, GROUNDS",1,1,1
2001-01,2001,CRIMINAL DAMAGE,VACANT LOT/LAND,1,1,1
2001-01,2001,CRIMINAL TRESPASS,ABANDONED BUILDING,1,1,1
2001-01,2001,CRIMINAL TRESPASS,ALLEY,1,1,1
2001-01,2001,CRIMINAL TRESPASS,CHA APARTMENT,1,1,1
2001-01,2001,CRIMINAL TRESPASS,GROCERY FOOD STORE,1,1,1
2001-01,2001,CRIMINAL TRESPASS,HOSPITAL BUILDING/GROUNDS,1,1,1
2001-01,2001,CRIMINAL TRESPASS,OTHER,1,1,1
2001-01,2001,CRIMINAL TRESPASS,RESTAURANT,1,1,1
2001-01,2001,CRIMINAL TRESPASS,TAVERN/LIQUOR STORE,1,1,1
2001-01,2001,CRIMINAL TRESPASS,VACANT LOT/LAND,1,1,1
2001-01,2001,DECEPTIVE PRACTICE,CTA BUS,1,1,1
2001-01,2001,DECEPTIVE PRACTICE,CURRENCY EXCHANGE,1,1,1
2001-01,2001,DECEPTIVE PRACTICE,GAS STATION,1,1,1
2001-01,2001,DECEPTIVE PRACTICE,GROCERY FOOD STORE,1,1,1
2001-01,2001,DECEPTIVE PRACTICE,OTHER,1,1,1
2001-01,2001,DECEPTIVE PRACTICE,"SCHOOL, PUBLIC, BUILDING",1,1,1
2001-01,2001,HOMICIDE,CHA STAIRWELL,1,1,1
2001-01,2001,HOMICIDE,GAS STATION DRIVE/PROP.,1,1,1
2001-01,2001,HOMICIDE,RESTAURANT,1,1,1
2001-01,2001,HOMICIDE,STREET,1,1,1
2001-01,2001,KIDNAPPING,STREET,1,1,1
2001-01,2001,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE,1,1,1
2001-01,2001,MOTOR VEHICLE THEFT,ALLEY,1,1,1
2001-01,2001,MOTOR VEHICLE THEFT,GAS STATION,1,1,1
2001-01,2001,MOTOR VEHICLE THEFT,POLICE FACILITY/VEH PARKING LOT,1,1,1
2001-01,2001,MOTOR VEHICLE THEFT,RESIDENCE-GARAGE,1,1,1
2001-01,2001,NARCOTICS,FACTORY/MANUFACTURING BUILDING,1,1,1
2001-01,2001,NARCOTICS,GOVERNMENT BUILDING/PROPERTY,1,1,1
2001-01,2001,NARCOTICS,"SCHOOL, PUBLIC, BUILDING",1,1,1
2001-01,2001,NARCOTICS,"SCHOOL, PUBLIC, GROUNDS",1,1,1
2001-01,2001,NARCOTICS,SMALL RETAIL STORE,1,1,1
2001-01,2001,NARCOTICS,TAVERN/LIQUOR STORE,1,1,1
2001-01,2001,NARCOTICS,VEHICLE NON-COMMERCIAL,1,1,1
2001-01,2001,OFFENSE INVOLVING CHILDREN,STREET,1,1,1
2001-01,2001,OTHER OFFENSE,ALLEY,1,1,1
2001-01,2001,OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE,1,1,1
2001-01,2001,OTHER OFFENSE,CURRENCY EXCHANGE,1,1,1
2001-01,2001,OTHER OFFENSE,GAS STATION,1,1,1
2001-01,2001,OTHER OFFENSE,HOSPITAL BUILDING/GROUNDS,1,1,1
2001-01,2001,OTHER OFFENSE,NURSING HOME/RETIREMENT HOME,1,1,1
2001-01,2001,OTHER OFFENSE,RESIDENCE PORCH/HALLWAY,1,1,1
2001-01,2001,OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING",1,1,1
2001-01,2001,OTHER OFFENSE,SMALL RETAIL STORE,1,1,1
2001-01,2001,PROSTITUTION,PARK PROPERTY,1,1,1
2001-01,2001,PROSTITUTION,SIDEWALK,1,1,1
2001-01,2001,PUBLIC PEACE VIOLATION,CHA HALLWAY/STAIRWELL/ELEVATOR,1,1,1
2001-01,2001,PUBLIC PEACE VIOLATION,CLEANING STORE,1,1,1
2001-01,2001,PUBLIC PEACE VIOLATION,RESIDENCE,1,1,1
2001-01,2001,PUBLIC PEACE VIOLATION,"SCHOOL, PUBLIC, BUILDING",1,1,1
2001-01,2001,PUBLIC PEACE VIOLATION,SMALL RETAIL STORE,1,1,1
2001-01,2001,RITUALISM,SIDEWALK,1,1,1
2001-01,2001,ROBBERY,APARTMENT,1,1,1
2001-01,2001,ROBBERY,CTA BUS,1,1,1
2001-01,2001,ROBBERY,CTA PLATFORM,1,1,1
2001-01,2001,ROBBERY,HOTEL/MOTEL,1,1,1
2001-01,2001,ROBBERY,SMALL RETAIL STORE,1,1,1
2001-01,2001,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS,1,1,1
2001-01,2001,SEX OFFENSE,OTHER,1,1,1
2001-01,2001,SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS",1,1,1
2001-01,2001,STALKING,RESIDENCE,1,1,1
2001-01,2001,STALKING,STREET,1,1,1
2001-01,2001,THEFT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,1,1
2001-01,2001,THEFT,CONSTRUCTION SITE,1,1,1
2001-01,2001,THEFT,CTA PLATFORM,1,1,1
2001-01,2001,THEFT,DEPARTMENT STORE,1,1,1
2001-01,2001,THEFT,GOVERNMENT BUILDING/PROPERTY,1,1,1
2001-01,2001,THEFT,HOTEL/MOTEL,1,1,1
2001-01,2001,THEFT,POLICE FACILITY/VEH PARKING LOT,1,1,1
2001-01,2001,THEFT,RESIDENCE PORCH/HALLWAY,1,1,1
2001-01,2001,THEFT,TAVERN/LIQUOR STORE,1,1,1
2001-01,2001,THEFT,VACANT LOT/LAND,1,1,1
2001-01,2001,THEFT,VEHICLE NON-COMMERCIAL,1,1,1
2001-01,2001,WEAPONS VIOLATION,OTHER,1,1,1
2001-01,2001,WEAPONS VIOLATION,VACANT LOT/LAND,1,1,1
2001-01,2001,WEAPONS VIOLATION,VEHICLE NON-COMMERCIAL,1,1,1
2001-02,2001,NARCOTICS,STREET,350,28,12.5
2001-02,2001,NARCOTICS,SIDEWALK,179,28,6.39
2001-02,2001,BATTERY,RESIDENCE,119,27,4.41
2001-02,2001,BATTERY,STREET,79,27,2.93
2001-02,2001,MOTOR VEHICLE THEFT,STREET,55,26,2.12
2001-02,2001,CRIMINAL DAMAGE,STREET,53,25,2.12
2001-02,2001,OTHER OFFENSE,RESIDENCE,53,23,2.3
2001-02,2001,THEFT,STREET,51,23,2.22
2001-02,2001,THEFT,RESIDENCE,43,22,1.95
2001-02,2001,BURGLARY,RESIDENCE,41,20,2.05
2001-02,2001,PROSTITUTION,STREET,39,18,2.17
2001-02,2001,BATTERY,SIDEWALK,33,20,1.65
2001-02,2001,ASSAULT,RESIDENCE,32,21,1.52
2001-02,2001,CRIMINAL DAMAGE,RESIDENCE,32,19,1.68
2001-02,2001,ROBBERY,STREET,32,22,1.45
2001-02,2001,BATTERY,"SCHOOL, PUBLIC, BUILDING",27,12,2.25
2001-02,2001,NARCOTICS,RESIDENCE,26,18,1.44
2001-02,2001,OTHER OFFENSE,STREET,26,17,1.53
2001-02,2001,ASSAULT,STREET,24,17,1.41
2001-02,2001,NARCOTICS,OTHER,22,14,1.57
2001-02,2001,BATTERY,APARTMENT,21,14,1.5
2001-02,2001,NARCOTICS,ALLEY,21,16,1.31
2001-02,2001,THEFT,GROCERY FOOD STORE,20,13,1.54
2001-02,2001,NARCOTICS,CHA HALLWAY/STAIRWELL/ELEVATOR,16,12,1.33
2001-02,2001,ROBBERY,SIDEWALK,16,13,1.23
2001-02,2001,BATTERY,OTHER,14,9,1.56
2001-02,2001,THEFT,OTHER,13,9,1.44
2001-02,2001,BATTERY,CHA APARTMENT,11,10,1.1
2001-02,2001,BATTERY,RESIDENCE PORCH/HALLWAY,11,10,1.1
2001-02,2001,BURGLARY,APARTMENT,10,9,1.11
2001-02,2001,CRIMINAL DAMAGE,APARTMENT,9,9,1
2001-02,2001,OTHER OFFENSE,APARTMENT,9,8,1.12
2001-02,2001,THEFT,SIDEWALK,9,8,1.12
2001-02,2001,ASSAULT,SIDEWALK,8,8,1
2001-02,2001,DECEPTIVE PRACTICE,RESIDENCE,8,7,1.14
2001-02,2001,NARCOTICS,CHA PARKING LOT/GROUNDS,8,8,1
2001-02,2001,THEFT,APARTMENT,8,7,1.14
2001-02,2001,THEFT,PARKING LOT/GARAGE(NON.RESID.),8,8,1
2001-02,2001,WEAPONS VIOLATION,"SCHOOL, PUBLIC, BUILDING",8,7,1.14
2001-02,2001,ASSAULT,APARTMENT,7,6,1.17
2001-02,2001,BATTERY,"SCHOOL, PUBLIC, GROUNDS",7,5,1.4
2001-02,2001,NARCOTICS,RESIDENCE PORCH/HALLWAY,7,6,1.17
2001-02,2001,NARCOTICS,VEHICLE NON-COMMERCIAL,7,7,1
2001-02,2001,THEFT,"SCHOOL, PUBLIC, BUILDING",7,7,1
2001-02,2001,CRIMINAL TRESPASS,"SCHOOL, PUBLIC, BUILDING",6,5,1.2
2001-02,2001,NARCOTICS,"SCHOOL, PUBLIC, BUILDING",6,5,1.2
2001-02,2001,THEFT,SMALL RETAIL STORE,6,5,1.2
2001-02,2001,WEAPONS VIOLATION,STREET,6,5,1.2
2001-02,2001,ASSAULT,OTHER,5,4,1.25
2001-02,2001,BATTERY,ALLEY,5,4,1.25
2001-02,2001,NARCOTICS,VACANT LOT/LAND,5,5,1
2001-02,2001,ROBBERY,RESIDENCE,5,4,1.25
2001-02,2001,ASSAULT,RESIDENCE PORCH/HALLWAY,4,4,1
2001-02,2001,ASSAULT,"SCHOOL, PUBLIC, BUILDING",4,2,2
2001-02,2001,BATTERY,CHA HALLWAY/STAIRWELL/ELEVATOR,4,3,1.33
2001-02,2001,BURGLARY,RESTAURANT,4,4,1
2001-02,2001,CRIMINAL DAMAGE,CTA BUS,4,3,1.33
2001-02,2001,CRIMINAL DAMAGE,OTHER,4,4,1
2001-02,2001,CRIMINAL TRESPASS,RESIDENCE,4,4,1
2001-02,2001,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),4,4,1
2001-02,2001,OFFENSE INVOLVING CHILDREN,RESIDENCE,4,4,1
2001-02,2001,ROBBERY,ALLEY,4,3,1.33
2001-02,2001,ASSAULT,CHA HALLWAY/STAIRWELL/ELEVATOR,3,3,1
2001-02,2001,ASSAULT,"SCHOOL, PUBLIC, GROUNDS",3,3,1
2001-02,2001,BATTERY,VACANT LOT/LAND,3,3,1
2001-02,2001,BATTERY,VEHICLE NON-COMMERCIAL,3,3,1
2001-02,2001,BURGLARY,CLEANING STORE,3,3,1
2001-02,2001,CRIM SEXUAL ASSAULT,RESIDENCE,3,2,1.5
2001-02,2001,CRIMINAL DAMAGE,RESTAURANT,3,3,1
2001-02,2001,CRIMINAL TRESPASS,CHA HALLWAY/STAIRWELL/ELEVATOR,3,3,1
2001-02,2001,MOTOR VEHICLE THEFT,VACANT LOT/LAND,3,3,1
2001-02,2001,NARCOTICS,CTA PLATFORM,3,3,1
2001-02,2001,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),3,2,1.5
2001-02,2001,NARCOTICS,POLICE FACILITY/VEH PARKING LOT,3,3,1
2001-02,2001,OTHER OFFENSE,CHA APARTMENT,3,3,1
2001-02,2001,OTHER OFFENSE,OTHER,3,3,1
2001-02,2001,PUBLIC PEACE VIOLATION,RESIDENCE,3,3,1
2001-02,2001,ROBBERY,GAS STATION,3,3,1
2001-02,2001,ROBBERY,RESIDENCE PORCH/HALLWAY,3,3,1
2001-02,2001,SEX OFFENSE,RESIDENCE,3,3,1
2001-02,2001,THEFT,COMMERCIAL / BUSINESS OFFICE,3,3,1
2001-02,2001,THEFT,GAS STATION,3,2,1.5
2001-02,2001,ARSON,RESIDENCE PORCH/HALLWAY,2,2,1
2001-02,2001,ARSON,VEHICLE NON-COMMERCIAL,2,2,1
2001-02,2001,ASSAULT,ALLEY,2,2,1
2001-02,2001,ASSAULT,CHA APARTMENT,2,2,1
2001-02,2001,ASSAULT,VEHICLE NON-COMMERCIAL,2,2,1
2001-02,2001,BATTERY,BARBERSHOP,2,2,1
2001-02,2001,BATTERY,CHA PARKING LOT/GROUNDS,2,2,1
2001-02,2001,BATTERY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,2,1
2001-02,2001,BATTERY,CTA BUS,2,2,1
2001-02,2001,BATTERY,PARKING LOT/GARAGE(NON.RESID.),2,2,1
2001-02,2001,BATTERY,RESTAURANT,2,2,1
2001-02,2001,BURGLARY,CHA APARTMENT,2,2,1
2001-02,2001,BURGLARY,OTHER,2,2,1
2001-02,2001,CRIM SEXUAL ASSAULT,STREET,2,2,1
2001-02,2001,CRIMINAL DAMAGE,CHA APARTMENT,2,2,1
2001-02,2001,CRIMINAL DAMAGE,GOVERNMENT BUILDING/PROPERTY,2,2,1
2001-02,2001,CRIMINAL DAMAGE,VACANT LOT/LAND,2,2,1
2001-02,2001,CRIMINAL TRESPASS,CHA APARTMENT,2,2,1
2001-02,2001,CRIMINAL TRESPASS,GROCERY FOOD STORE,2,2,1
2001-02,2001,CRIMINAL TRESPASS,STREET,2,2,1
2001-02,2001,DECEPTIVE PRACTICE,CURRENCY EXCHANGE,2,2,1
2001-02,2001,DECEPTIVE PRACTICE,RESTAURANT,2,2,1
2001-02,2001,DECEPTIVE PRACTICE,STREET,2,2,1
2001-02,2001,DECEPTIVE PRACTICE,TAXICAB,2,2,1
2001-02,2001,HOMICIDE,STREET,2,2,1
2001-02,2001,KIDNAPPING,STREET,2,2,1
2001-02,2001,MOTOR VEHICLE THEFT,GAS STATION,2,2,1
2001-02,2001,NARCOTICS,GAS STATION,2,2,1
2001-02,2001,OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE,2,2,1
2001-02,2001,OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING",2,2,1
2001-02,2001,ROBBERY,GROCERY FOOD STORE,2,2,1
2001-02,2001,ROBBERY,PARKING LOT/GARAGE(NON.RESID.),2,2,1
2001-02,2001,ROBBERY,SMALL RETAIL STORE,2,2,1
2001-02,2001,ROBBERY,TAXICAB,2,2,1
2001-02,2001,THEFT,ABANDONED BUILDING,2,1,2
2001-02,2001,THEFT,ALLEY,2,2,1
2001-02,2001,THEFT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,2,1
2001-02,2001,THEFT,CONSTRUCTION SITE,2,2,1
2001-02,2001,THEFT,DRUG STORE,2,2,1
2001-02,2001,THEFT,RESIDENCE PORCH/HALLWAY,2,2,1
2001-02,2001,THEFT,"SCHOOL, PUBLIC, GROUNDS",2,2,1
2001-02,2001,THEFT,TAVERN/LIQUOR STORE,2,2,1
2001-02,2001,THEFT,VACANT LOT/LAND,2,2,1
2001-02,2001,THEFT,VEHICLE NON-COMMERCIAL,2,2,1
2001-02,2001,WEAPONS VIOLATION,ALLEY,2,2,1
2001-02,2001,WEAPONS VIOLATION,SIDEWALK,2,1,2
2001-02,2001,ARSON,CHA APARTMENT,1,1,1
2001-02,2001,ASSAULT,CLEANING STORE,1,1,1
2001-02,2001,ASSAULT,CTA BUS,1,1,1
2001-02,2001,ASSAULT,CURRENCY EXCHANGE,1,1,1
2001-02,2001,ASSAULT,FACTORY/MANUFACTURING BUILDING,1,1,1
2001-02,2001,ASSAULT,GAS STATION,1,1,1
2001-02,2001,ASSAULT,RESIDENCE-GARAGE,1,1,1
2001-02,2001,ASSAULT,RESTAURANT,1,1,1
2001-02,2001,ASSAULT,"SCHOOL, PRIVATE, BUILDING",1,1,1
2001-02,2001,ASSAULT,TAVERN/LIQUOR STORE,1,1,1
2001-02,2001,BATTERY,CAR WASH,1,1,1
2001-02,2001,BATTERY,DEPARTMENT STORE,1,1,1
2001-02,2001,BATTERY,FACTORY/MANUFACTURING BUILDING,1,1,1
2001-02,2001,BATTERY,GAS STATION,1,1,1
2001-02,2001,BATTERY,GROCERY FOOD STORE,1,1,1
2001-02,2001,BATTERY,OTHER COMMERCIAL TRANSPORTATION,1,1,1
2001-02,2001,BATTERY,PARK PROPERTY,1,1,1
